Invoice_No,OBD_No,Billing_Date,Billing_Amount,IOD_Date,Delivery_Days
7666954,62957949,2022-01-01,21.3235,2022-01-02,3
2738112,24956315,2022-01-01,39.1772,2022-01-22,19
8884625,44008664,2022-01-01,86.3094,2022-02-24,50
8382225,24117073,2022-01-01,19.4287,2022-01-02,1
7699816,47406640,2022-01-01,43.5204,2022-02-25,50
8459700,43632413,2022-01-01,50.7896,2022-02-21,49
4733815,28969722,2022-01-01,21.4937,2022-01-03,3
1384965,37872785,2022-01-01,42.6379,2022-02-23,50
2570688,49975804,2022-01-01,85.6086,2022-02-24,51
4082605,69597939,2022-01-01,15.0367,2022-01-02,1
9929804,39750246,2022-01-01,69.7099,2022-02-20,48
3082677,72080682,2022-01-01,5.24512,2022-01-02,3
1483456,27536261,2022-01-01,35.9133,2022-01-21,19
8064807,75641573,2022-01-01,28.7698,2022-01-23,20
7241785,55924574,2022-01-01,40.8252,2022-02-22,50
6390453,69277654,2022-01-01,62.372,2022-02-20,48
3619989,35541822,2022-01-01,59.2319,2022-02-22,50
7459817,53982048,2022-01-01,52.0808,2022-02-24,50
5480282,48936750,2022-01-01,70.892,2022-02-25,50
7910787,13654116,2022-01-01,40.4118,2022-02-24,54
9214663,79650275,2022-01-01,52.3287,2022-02-23,52
7465654,29780540,2022-01-01,39.2802,2022-02-02,30
7565405,58683852,2022-01-01,63.4627,2022-02-21,49
4315734,12193862,2022-01-01,78.2707,2022-02-25,51
7870505,86084203,2022-01-01,25.57,2022-02-19,46
4555258,90142849,2022-01-01,10.2208,2022-01-02,1
4694634,10965138,2022-01-01,32.3755,2022-01-20,16
9959880,22564154,2022-01-01,53.169,2022-02-23,51
3914209,33237546,2022-01-01,58.8825,2022-02-20,49
1717135,85841389,2022-01-01,2.48004,2022-01-02,1
2290796,50168264,2022-01-01,12.4572,2022-01-02,1
8330827,63690013,2022-01-01,9.4212,2022-01-02,0
3844964,54411822,2022-01-01,15.2923,2022-01-02,1
1139575,50637004,2022-01-01,28.0572,2022-01-02,1
9812554,77531176,2022-01-01,28.7546,2022-02-20,48
3534113,24863928,2022-01-02,9.96168,2022-01-03,3
6274189,58060781,2022-01-02,60.6314,2022-02-22,49
4450687,51574904,2022-01-02,5.07702,2022-01-03,2
2533209,12152643,2022-01-02,43.3058,2022-02-25,52
9237735,87293208,2022-01-02,3.8477,2022-01-03,3
7593926,46981505,2022-01-02,4.58948,2022-01-03,1
9459389,35092296,2022-01-02,9.13154,2022-01-03,1
9577712,84668420,2022-01-02,14.6213,2022-01-03,1
5236162,75914731,2022-01-02,50.7702,2022-02-23,50
2284021,24123001,2022-01-02,8.3014,2022-01-03,0
6730538,70136290,2022-01-02,43.7693,2022-02-10,34
7956025,82853151,2022-01-02,52.9075,2022-02-23,50
2076525,63647995,2022-01-02,57.9182,2022-02-22,46
8470869,32221468,2022-01-02,71.3643,2022-01-20,16
4162498,93084398,2022-01-02,37.0356,2022-01-29,24
5862847,51344390,2022-01-02,44.0273,2022-02-21,48
1340533,91043907,2022-01-02,77.0477,2022-02-23,47
1831016,81899926,2022-01-02,11.7765,2022-01-03,1
