OBD_No,OBD_Date,Goods_Issue_Time,Pick_Time,Pick_Date
10004793,18-09-2024,0 days 14:30:00,0 days 12:00:00,18-09-2024
10007168,,0 days 00:00:00,0 days 00:00:00,
10012470,23-11-2022,0 days 13:00:00,0 days 10:15:00,25-11-2022
10012511,25-06-2022,0 days 11:45:00,0 days 13:15:00,27-06-2022
10013474,20-01-2024,0 days 16:15:00,0 days 16:45:00,21-01-2024
10016550,10-05-2022,0 days 15:15:00,0 days 11:45:00,11-05-2022
10026256,,0 days 00:00:00,0 days 00:00:00,
10031902,01-11-2023,0 days 16:00:00,0 days 00:00:00,
10034722,03-10-2022,0 days 15:45:00,0 days 16:30:00,05-10-2022
10035826,18-11-2023,0 days 17:45:00,0 days 15:15:00,19-11-2023
10036337,,0 days 00:00:00,0 days 00:00:00,
10038671,08-12-2022,0 days 11:15:00,0 days 16:30:00,08-12-2022
10043257,15-05-2022,0 days 15:00:00,0 days 14:30:00,15-05-2022
10043447,13-02-2024,0 days 14:30:00,0 days 00:00:00,
10046077,01-03-2022,0 days 13:00:00,0 days 16:30:00,01-03-2022
10054319,18-01-2023,0 days 14:45:00,0 days 16:00:00,18-01-2023
10054856,,0 days 00:00:00,0 days 00:00:00,
10056967,13-06-2023,0 days 10:30:00,0 days 00:00:00,
10059482,04-12-2023,0 days 09:45:00,0 days 00:00:00,
10062027,16-09-2024,0 days 15:45:00,0 days 00:00:00,
10062336,02-10-2022,0 days 13:00:00,0 days 13:00:00,03-10-2022
10065449,,0 days 00:00:00,0 days 00:00:00,
10066454,06-06-2023,0 days 13:30:00,0 days 00:00:00,
10070858,01-09-2023,0 days 11:45:00,0 days 15:15:00,03-09-2023
10071931,28-09-2022,0 days 14:15:00,0 days 13:00:00,28-09-2022
10072871,19-06-2022,0 days 13:45:00,0 days 14:00:00,20-06-2022
10075476,,0 days 00:00:00,0 days 00:00:00,
10076576,13-05-2022,0 days 12:00:00,0 days 09:45:00,13-05-2022
10076758,21-01-2022,0 days 12:15:00,0 days 10:45:00,23-01-2022
10080009,22-02-2023,0 days 10:15:00,0 days 15:15:00,23-02-2023
10080232,13-11-2023,0 days 17:15:00,0 days 00:00:00,
10084808,,0 days 00:00:00,0 days 00:00:00,
10087862,13-03-2023,0 days 09:00:00,0 days 15:45:00,15-03-2023
10092847,13-07-2022,0 days 15:30:00,0 days 12:30:00,15-07-2022
10098442,17-08-2022,0 days 16:15:00,0 days 14:30:00,17-08-2022
10103235,05-12-2023,0 days 09:45:00,0 days 16:15:00,07-12-2023
10106162,,0 days 00:00:00,0 days 00:00:00,
10107104,18-09-2022,0 days 12:00:00,0 days 14:00:00,19-09-2022
10113187,,0 days 00:00:00,0 days 00:00:00,
10113880,,0 days 00:00:00,0 days 00:00:00,
10124737,15-07-2023,0 days 14:30:00,0 days 11:15:00,17-07-2023
10128848,,0 days 00:00:00,0 days 00:00:00,
10130079,15-06-2023,0 days 14:00:00,0 days 14:45:00,16-06-2023
10131289,22-08-2022,0 days 10:45:00,0 days 16:15:00,23-08-2022
10131375,11-06-2022,0 days 11:30:00,0 days 13:00:00,11-06-2022
10135406,,0 days 00:00:00,0 days 00:00:00,
10137666,26-02-2023,0 days 10:45:00,0 days 00:00:00,
10146265,28-08-2023,0 days 13:45:00,0 days 09:15:00,30-08-2023
10147197,05-01-2022,0 days 12:45:00,0 days 11:00:00,06-01-2022
10147286,07-04-2022,0 days 17:30:00,0 days 17:45:00,09-04-2022
10151477,01-01-2024,0 days 16:30:00,0 days 10:15:00,01-01-2024
10154493,20-02-2023,0 days 13:30:00,0 days 13:00:00,20-02-2023
10156208,15-10-2023,0 days 12:30:00,0 days 15:00:00,15-10-2023
10156612,18-05-2023,0 days 10:30:00,0 days 12:00:00,20-05-2023
10159801,18-08-2022,0 days 15:15:00,0 days 12:00:00,20-08-2022
10162044,30-07-2022,0 days 15:30:00,0 days 16:00:00,01-08-2022
10162459,01-02-2023,0 days 12:15:00,0 days 15:30:00,03-02-2023
10162494,,0 days 00:00:00,0 days 00:00:00,
10169422,22-04-2023,0 days 14:30:00,0 days 17:30:00,23-04-2023
10170384,20-10-2023,0 days 16:15:00,0 days 00:00:00,
10174491,,0 days 00:00:00,0 days 00:00:00,
10175550,07-01-2024,0 days 15:45:00,0 days 00:00:00,
10175799,,0 days 00:00:00,0 days 00:00:00,
10176075,18-04-2022,0 days 09:00:00,0 days 16:00:00,19-04-2022
10187152,12-08-2023,0 days 11:45:00,0 days 17:00:00,12-08-2023
10191149,19-12-2023,0 days 10:00:00,0 days 17:15:00,21-12-2023
10192600,06-11-2022,0 days 10:00:00,0 days 14:00:00,06-11-2022
10193841,20-03-2022,0 days 11:45:00,0 days 16:00:00,21-03-2022
10194969,19-12-2023,0 days 12:45:00,0 days 00:00:00,
10196027,11-12-2023,0 days 16:00:00,0 days 00:00:00,
10197662,,0 days 00:00:00,0 days 00:00:00,
10199996,25-08-2023,0 days 10:45:00,0 days 13:15:00,26-08-2023
10200744,,0 days 00:00:00,0 days 00:00:00,
10201327,24-04-2022,0 days 12:00:00,0 days 15:15:00,24-04-2022
10201545,23-04-2022,0 days 12:30:00,0 days 10:15:00,23-04-2022
10202363,19-05-2022,0 days 14:00:00,0 days 16:30:00,20-05-2022
10202454,26-11-2023,0 days 12:15:00,0 days 00:00:00,
10205861,,0 days 00:00:00,0 days 00:00:00,
10209894,17-10-2023,0 days 09:30:00,0 days 00:00:00,
10211873,21-06-2023,0 days 09:45:00,0 days 14:45:00,22-06-2023
10212187,,0 days 00:00:00,0 days 00:00:00,
10212273,02-10-2023,0 days 11:45:00,0 days 00:00:00,
10212821,03-07-2023,0 days 14:45:00,0 days 15:00:00,03-07-2023
10214901,07-12-2022,0 days 11:00:00,0 days 15:15:00,07-12-2022
10216790,16-11-2023,0 days 13:15:00,0 days 11:15:00,17-11-2023
10220722,06-01-2024,0 days 15:30:00,0 days 16:45:00,06-01-2024
10220861,12-07-2023,0 days 10:00:00,0 days 14:00:00,13-07-2023
10221153,26-12-2022,0 days 09:30:00,0 days 10:45:00,26-12-2022
10224753,19-03-2022,0 days 15:00:00,0 days 12:45:00,21-03-2022
10228733,14-08-2022,0 days 13:15:00,0 days 15:30:00,14-08-2022
10236882,16-01-2024,0 days 15:00:00,0 days 12:15:00,18-01-2024
10243970,,0 days 00:00:00,0 days 00:00:00,
10247780,14-01-2022,0 days 10:15:00,0 days 10:45:00,14-01-2022
10250524,01-11-2023,0 days 12:00:00,0 days 00:00:00,
10250607,29-10-2023,0 days 11:15:00,0 days 00:00:00,
10259056,13-01-2024,0 days 09:30:00,0 days 14:30:00,13-01-2024
10261534,08-01-2022,0 days 11:15:00,0 days 10:00:00,10-01-2022
10262390,23-02-2024,0 days 09:00:00,0 days 11:45:00,23-02-2024
10264286,22-07-2022,0 days 14:00:00,0 days 13:15:00,24-07-2022
10264907,27-04-2023,0 days 16:15:00,0 days 00:00:00,
10265290,20-02-2022,0 days 12:00:00,0 days 09:00:00,22-02-2022
10265598,21-09-2023,0 days 10:45:00,0 days 14:15:00,22-09-2023
10267319,,0 days 00:00:00,0 days 00:00:00,
10267483,,0 days 00:00:00,0 days 00:00:00,
10270663,15-02-2022,0 days 14:00:00,0 days 09:45:00,15-02-2022
10271452,14-05-2022,0 days 10:45:00,0 days 12:30:00,16-05-2022
10276462,08-04-2022,0 days 16:15:00,0 days 11:00:00,09-04-2022
10279945,12-06-2023,0 days 15:00:00,0 days 09:30:00,12-06-2023
10281871,12-05-2022,0 days 12:00:00,0 days 10:15:00,14-05-2022
10286137,22-11-2023,0 days 16:45:00,0 days 00:00:00,
10292428,27-11-2023,0 days 16:45:00,0 days 00:00:00,
10294869,,0 days 00:00:00,0 days 00:00:00,
10298696,02-02-2022,0 days 11:45:00,0 days 11:15:00,04-02-2022
10298939,20-01-2023,0 days 15:45:00,0 days 11:15:00,21-01-2023
10299883,,0 days 00:00:00,0 days 00:00:00,
10302045,23-04-2022,0 days 14:00:00,0 days 14:45:00,23-04-2022
10304210,,0 days 00:00:00,0 days 00:00:00,
10310959,,0 days 00:00:00,0 days 00:00:00,
10317389,,0 days 00:00:00,0 days 00:00:00,
10323611,30-12-2023,0 days 16:45:00,0 days 17:15:00,01-01-2024
10326238,,0 days 00:00:00,0 days 00:00:00,
10328387,19-04-2022,0 days 11:15:00,0 days 11:15:00,21-04-2022
10329821,04-10-2022,0 days 17:45:00,0 days 14:30:00,04-10-2022
10332878,04-03-2022,0 days 15:00:00,0 days 09:15:00,04-03-2022
10333912,01-01-2023,0 days 16:00:00,0 days 14:15:00,03-01-2023
10338423,22-12-2022,0 days 10:30:00,0 days 15:15:00,22-12-2022
10342788,30-08-2022,0 days 15:45:00,0 days 17:45:00,30-08-2022
10344739,29-08-2022,0 days 14:45:00,0 days 17:00:00,31-08-2022
10346126,07-04-2023,0 days 10:45:00,0 days 12:45:00,08-04-2023
10346237,31-10-2022,0 days 09:15:00,0 days 16:00:00,01-11-2022
10346771,25-11-2023,0 days 17:15:00,0 days 00:00:00,
10352830,10-02-2022,0 days 15:15:00,0 days 12:30:00,11-02-2022
10355692,26-11-2022,0 days 16:00:00,0 days 10:15:00,26-11-2022
10357389,29-09-2023,0 days 13:15:00,0 days 15:00:00,01-10-2023
10358277,23-03-2022,0 days 16:00:00,0 days 16:45:00,24-03-2022
10358466,,0 days 00:00:00,0 days 00:00:00,
10363033,,0 days 00:00:00,0 days 00:00:00,
10364864,,0 days 00:00:00,0 days 00:00:00,
10366686,14-12-2022,0 days 17:45:00,0 days 12:30:00,15-12-2022
10367488,20-03-2023,0 days 16:45:00,0 days 00:00:00,
10368153,28-12-2024,0 days 11:30:00,0 days 12:45:00,28-12-2024
10370853,,0 days 00:00:00,0 days 00:00:00,
10372592,04-08-2023,0 days 16:15:00,0 days 00:00:00,
10372849,07-11-2022,0 days 17:45:00,0 days 13:00:00,08-11-2022
10373002,23-10-2022,0 days 11:15:00,0 days 10:30:00,25-10-2022
10375217,,0 days 00:00:00,0 days 00:00:00,
10384435,,0 days 00:00:00,0 days 00:00:00,
10387371,10-11-2022,0 days 12:00:00,0 days 15:30:00,12-11-2022
10391130,11-11-2022,0 days 11:45:00,0 days 13:45:00,11-11-2022
10392185,12-05-2024,0 days 10:30:00,0 days 00:00:00,
10401299,12-04-2024,0 days 14:00:00,0 days 00:00:00,
10403216,31-08-2023,0 days 09:15:00,0 days 09:45:00,01-09-2023
10404729,28-10-2023,0 days 15:00:00,0 days 14:45:00,30-10-2023
10405420,,0 days 00:00:00,0 days 00:00:00,
10405792,24-11-2022,0 days 12:30:00,0 days 10:00:00,26-11-2022
10408648,26-03-2023,0 days 12:15:00,0 days 14:15:00,26-03-2023
10409707,25-02-2023,0 days 11:30:00,0 days 00:00:00,
10410356,21-05-2023,0 days 14:15:00,0 days 16:00:00,21-05-2023
10410603,,0 days 00:00:00,0 days 00:00:00,
10412827,,0 days 00:00:00,0 days 00:00:00,
10416129,,0 days 00:00:00,0 days 00:00:00,
10416997,07-01-2023,0 days 11:45:00,0 days 09:00:00,07-01-2023
10419308,30-01-2022,0 days 11:15:00,0 days 14:45:00,31-01-2022
10419981,17-03-2023,0 days 16:30:00,0 days 00:00:00,
10425250,06-02-2023,0 days 12:15:00,0 days 16:45:00,08-02-2023
10427861,,0 days 00:00:00,0 days 00:00:00,
10429189,24-09-2022,0 days 11:30:00,0 days 13:15:00,26-09-2022
10430734,06-01-2024,0 days 10:30:00,0 days 00:00:00,
10431228,29-06-2022,0 days 09:00:00,0 days 13:45:00,30-06-2022
10431428,,0 days 00:00:00,0 days 00:00:00,
10433915,18-08-2023,0 days 12:00:00,0 days 00:00:00,
10438499,14-07-2022,0 days 09:30:00,0 days 10:15:00,15-07-2022
10438642,23-01-2022,0 days 15:15:00,0 days 11:45:00,24-01-2022
10440936,31-12-2022,0 days 13:45:00,0 days 11:30:00,31-12-2022
10443315,06-10-2023,0 days 12:15:00,0 days 13:45:00,07-10-2023
10443906,12-08-2024,0 days 15:45:00,0 days 00:00:00,
10447935,18-07-2024,0 days 10:30:00,0 days 10:45:00,18-07-2024
10448477,04-11-2023,0 days 15:15:00,0 days 00:00:00,
10450795,02-04-2022,0 days 15:15:00,0 days 10:30:00,02-04-2022
10452009,01-04-2023,0 days 09:30:00,0 days 00:00:00,
10456602,01-12-2023,0 days 13:45:00,0 days 00:00:00,
10457051,12-09-2024,0 days 17:15:00,0 days 09:30:00,14-09-2024
10459152,06-09-2022,0 days 12:15:00,0 days 12:00:00,08-09-2022
10462685,26-02-2023,0 days 14:30:00,0 days 15:00:00,27-02-2023
10466556,,0 days 00:00:00,0 days 00:00:00,
10468741,28-09-2022,0 days 15:15:00,0 days 16:45:00,28-09-2022
10469298,,0 days 00:00:00,0 days 00:00:00,
10470877,31-03-2022,0 days 12:15:00,0 days 17:00:00,01-04-2022
10472068,31-01-2023,0 days 15:45:00,0 days 15:00:00,01-02-2023
10473295,,0 days 00:00:00,0 days 00:00:00,
10473543,,0 days 00:00:00,0 days 00:00:00,
10475699,,0 days 00:00:00,0 days 00:00:00,
10475894,21-06-2024,0 days 14:00:00,0 days 12:30:00,22-06-2024
10476674,10-04-2024,0 days 15:30:00,0 days 00:00:00,
10477994,31-01-2023,0 days 13:15:00,0 days 17:45:00,02-02-2023
10482235,,0 days 00:00:00,0 days 00:00:00,
10483257,25-04-2022,0 days 15:15:00,0 days 15:15:00,25-04-2022
10484377,15-01-2022,0 days 09:15:00,0 days 10:30:00,16-01-2022
10486611,01-07-2022,0 days 09:45:00,0 days 12:45:00,03-07-2022
10489883,06-11-2023,0 days 09:30:00,0 days 00:00:00,
10493503,,0 days 00:00:00,0 days 00:00:00,
10496212,31-08-2024,0 days 10:45:00,0 days 14:30:00,01-09-2024
10497585,24-09-2023,0 days 13:00:00,0 days 16:15:00,26-09-2023
10502052,18-07-2023,0 days 13:15:00,0 days 15:15:00,18-07-2023
10503430,01-01-2023,0 days 13:15:00,0 days 16:00:00,01-01-2023
10506871,06-07-2022,0 days 09:30:00,0 days 11:30:00,06-07-2022
10507366,11-06-2023,0 days 13:30:00,0 days 00:00:00,
10509040,29-09-2022,0 days 16:00:00,0 days 14:00:00,30-09-2022
10509134,31-07-2023,0 days 17:45:00,0 days 00:00:00,
10509965,28-01-2023,0 days 09:30:00,0 days 12:45:00,29-01-2023
10516583,,0 days 00:00:00,0 days 00:00:00,
10521062,20-02-2022,0 days 15:00:00,0 days 13:15:00,20-02-2022
10524592,,0 days 00:00:00,0 days 00:00:00,
10525039,12-02-2022,0 days 16:45:00,0 days 11:45:00,14-02-2022
